method,target,anchor,seed,target_similarity,own_anchor_similarity,best_other_anchor_similarity,correspondence_margin,predicted_anchor_index,own_anchor_top1,predicted_anchor,image_path
original,cat,dog,42,0.286925733089447,0.2283019870519638,0.15604646503925323,0.07225552201271057,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_42.png
original,cat,dog,43,0.2795560956001282,0.228949636220932,0.15930065512657166,0.06964898109436035,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_43.png
original,cat,dog,44,0.29515233635902405,0.2391960620880127,0.19188250601291656,0.04731355607509613,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_44.png
original,cat,dog,45,0.28063681721687317,0.230977401137352,0.16699977219104767,0.06397762894630432,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_45.png
original,cat,dog,46,0.28885459899902344,0.23564665019512177,0.18476006388664246,0.05088658630847931,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_46.png
original,cat,dog,47,0.2806742489337921,0.22599418461322784,0.17394143342971802,0.05205275118350983,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_47.png
original,cat,dog,48,0.27256807684898376,0.21506860852241516,0.19204433262348175,0.02302427589893341,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_48.png
original,cat,dog,49,0.2817439138889313,0.2225927710533142,0.17916110157966614,0.04343166947364807,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_49.png
original,cat,dog,50,0.2846689820289612,0.23170045018196106,0.19188858568668365,0.039811864495277405,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_50.png
original,cat,dog,51,0.27048641443252563,0.2190159410238266,0.17200054228305817,0.04701539874076843,0,True,dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_51.png
original,guitar,piano,42,0.2878008186817169,0.1973593682050705,0.17977887392044067,0.017580494284629822,1,True,piano,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_42.png
