edit_seed,variant,concept,sample_index,relative_image_path,size_bytes,sha256
20260820,official,golden retriever,0,seeds/20260820/evaluation/official/images/golden_retriever/0000.png,419529,63e81eeff7fee4444f03eeb77409b0907d2f91fa6b84915d4b1c809ecfdb257e
20260820,official,golden retriever,1,seeds/20260820/evaluation/official/images/golden_retriever/0001.png,449115,6eb60581883290728d4e60aefe7e9e950ed81bed970f518d45089c9ba2de52b7
20260820,official,labrador retriever,0,seeds/20260820/evaluation/official/images/labrador_retriever/0000.png,473105,ccd8ae5e4cf7dc6042c0d612590c76abc5987fbc4767e84920d1de9b8d60918d
20260820,official,labrador retriever,1,seeds/20260820/evaluation/official/images/labrador_retriever/0001.png,400642,2f47d8932cb8bb34523a06163635ffc13d6cec163b1ea7f7642ec6d00df013d0
20260820,official,german shepherd,0,seeds/20260820/evaluation/official/images/german_shepherd/0000.png,452488,f14427f944a3cc12d3c53e5119f345c667ac58d481af0a97547750b6f3bea20c
20260820,official,german shepherd,1,seeds/20260820/evaluation/official/images/german_shepherd/0001.png,426824,b61cb7a90ea0d88dbcadbbf28d95cc9cabfc153b8178c74189983ddf2c03d75e
20260820,official,chesapeake bay retriever,0,seeds/20260820/evaluation/official/images/chesapeake_bay_retriever/0000.png,418578,8df14eae9c7c29eb413febe1bb44f7d22cd960285aa96ba31c993db7f9594eb9
20260820,official,chesapeake bay retriever,1,seeds/20260820/evaluation/official/images/chesapeake_bay_retriever/0001.png,419566,b12bca956dabd1a3309ee6158e039ce64226c88a358e1731542e30b5a1f87607
20260820,official,pug,0,seeds/20260820/evaluation/official/images/pug/0000.png,451600,43ea86fe35642721bdb91e8f62ee0731eb73699daf59e46513ed824f4269ee8f
20260820,official,pug,1,seeds/20260820/evaluation/official/images/pug/0001.png,419365,8ce71abdf01b33e0c28918c60b189ac4d0e37a8df62564ebc0f15529fb686c95
20260820,constant_mean,golden retriever,0,seeds/20260820/evaluation/constant_mean/images/golden_retriever/0000.png,419513,aa05cadf7fb74bb6251ff43f43a1772c58d230ce66f1894c9915d2ae14d7cc51
20260820,constant_mean,golden retriever,1,seeds/20260820/evaluation/constant_mean/images/golden_retriever/0001.png,447093,d9ed3181ec33903d8fb3ac69439033da7d850be73d9541d1302953c08eda7f98
20260820,constant_mean,labrador retriever,0,seeds/20260820/evaluation/constant_mean/images/labrador_retriever/0000.png,471835,edafc7bc78716a7fcc39910eef68e14642e55df235fbe9a618f216d124676fa6
20260820,constant_mean,labrador retriever,1,seeds/20260820/evaluation/constant_mean/images/labrador_retriever/0001.png,399952,19d0aee98851b0ddf88b1927e870fd7bcab7a654d37756fc19784b271c316c56
20260820,constant_mean,german shepherd,0,seeds/20260820/evaluation/constant_mean/images/german_shepherd/0000.png,452008,b393d70f2bac48eef73c9b0d48b4d52e862887e83ad753658ab4c0a98ad37b2c
20260820,constant_mean,german shepherd,1,seeds/20260820/evaluation/constant_mean/images/german_shepherd/0001.png,427595,25e81b90e43870394d10c269e363d05588247514384f1d2872c1322329b7ca41
20260820,constant_mean,chesapeake bay retriever,0,seeds/20260820/evaluation/constant_mean/images/chesapeake_bay_retriever/0000.png,419576,4c326eb3ced3ed8421ef823cbb5d442a91d493b2a5c8428880bf71b982254567
20260820,constant_mean,chesapeake bay retriever,1,seeds/20260820/evaluation/constant_mean/images/chesapeake_bay_retriever/0001.png,417346,afdef8de5c9f7d626d2d1e26d78d87361391181179b77d90ae0de0c9b26754d1
20260820,constant_mean,pug,0,seeds/20260820/evaluation/constant_mean/images/pug/0000.png,452215,1ce82b09c0812c03ba1745682d8fe2709ff36cb485e860670ad9019976f0bf05
