layer_id,layer_name,target_index,target,anchor_index,anchor,before,after,difference
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,0,dog,0.7853239934937325,0.24025324362116224,-0.5450707498725702
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,1,car,0.5742655367836922,0.19938252839230264,-0.37488300839138955
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,2,castle,0.6483104962749311,0.2573139910739126,-0.3909965052010185
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,3,art,0.6282994576407791,0.21751624996103194,-0.4107832076797472
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,4,celebrity,0.49025194127610533,0.23921026331159007,-0.25104167796451526
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,0,dog,0.46048296719165516,0.21768129055825447,-0.2428016766334007
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,1,car,0.6536575918419278,0.16708038487385563,-0.4865772069680722
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,2,castle,0.554158467983274,0.21502430359067254,-0.3391341643926014
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,3,art,0.49991647836496766,0.19014881757445465,-0.309767660790513
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,4,celebrity,0.40292093702931525,0.18423283795789014,-0.2186880990714251
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,2,church,0,dog,0.4908884332332545,0.2161940054242204,-0.2746944278090341
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,2,church,1,car,0.5580934643703095,0.15668833891866152,-0.40140512545164797
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,2,church,2,castle,0.6703608451758922,0.21815506672439028,-0.45220577845150195
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,2,church,3,art,0.506208032100119,0.1823066986000032,-0.3239013335001158
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,2,church,4,celebrity,0.4376202501320495,0.19884449891308004,-0.2387757512189695
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,0,dog,0.4555285135798208,0.16781080568188295,-0.2877177078979379
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,1,car,0.4014824161685826,0.15365795571561233,-0.24782446045297027
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,2,castle,0.5005381015476088,0.1892790371783014,-0.3112590643693074
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,3,art,0.6592310223474634,0.16908504629204282,-0.49014597605542065
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,4,celebrity,0.3958273337994139,0.1747534174988845,-0.22107391630052942
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,0,dog,0.6179467932377976,0.22885634737919525,-0.3890904458586023
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,1,car,0.5800520624732097,0.18672118243022648,-0.3933308800429832
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,2,castle,0.5631371071866327,0.23787699536618492,-0.3252601118204478
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,3,art,0.5249244342874783,0.20249086351830964,-0.3224335707691686
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,4,celebrity,0.5599229574029108,0.21348799780344585,-0.3464349595994649
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,0,cat,0,dog,0.8969565274716194,0.49747416095282304,-0.3994823665187963
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,0,cat,1,car,0.7764773445747819,0.4239441890624937,-0.3525331555122882
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,0,cat,2,castle,0.8592774553817872,0.5203514458038784,-0.33892600957790886
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,0,cat,3,art,0.8338766606844223,0.5132448105435212,-0.3206318501409011
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,0,cat,4,celebrity,0.7722058860307195,0.5178970342280569,-0.2543088518026626
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1,truck,0,dog,0.7174435908568834,0.44386243002853726,-0.2735811608283461
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1,truck,1,car,0.798201754040918,0.39947083695088803,-0.39873091709002995
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1,truck,2,castle,0.7576769913241544,0.47363862919181016,-0.2840383621323443
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1,truck,3,art,0.7045838818288161,0.45294158902059356,-0.2516422928082226
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1,truck,4,celebrity,0.6208897487285687,0.48241338179234927,-0.13847636693621945
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,church,0,dog,0.7704422774258706,0.4685410753981834,-0.30190120202768717
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,church,1,car,0.7171127034543974,0.40386957621960695,-0.3132431272347904
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,church,2,castle,0.839931328942537,0.49396026943054216,-0.3459710595119948
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,church,3,art,0.7798623727846932,0.47475245084222784,-0.30510992194246533
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,church,4,celebrity,0.6932740237390803,0.49728693773774757,-0.19598708600133274
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,Van Gogh,0,dog,0.7817995289783498,0.44614555691873536,-0.33565397205961445
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,Van Gogh,1,car,0.6994930146196956,0.3861143253921705,-0.3133786892275251
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,Van Gogh,2,castle,0.7306165228208428,0.4553197560532479,-0.27529676676759485
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,Van Gogh,3,art,0.818402882754182,0.45293638127357067,-0.3654665014806114
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,Van Gogh,4,celebrity,0.6975657758829914,0.46130333198464907,-0.23626244389834233
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,4,Adam Driver,0,dog,0.8172180123034587,0.47031716783232336,-0.34690084447113534
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,4,Adam Driver,1,car,0.7762049947184206,0.41448338741052,-0.36172160730790065
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,4,Adam Driver,2,castle,0.795701947134955,0.5018956890771824,-0.2938062580577726
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,4,Adam Driver,3,art,0.7550064065011513,0.48949235895997334,-0.2655140475411779
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,4,Adam Driver,4,celebrity,0.73166019118414,0.4997946032432329,-0.23186558794090717
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,0,dog,0.7336510720315075,0.18475243240983208,-0.5488986396216754
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,1,car,0.40600887023167825,0.1433864810201702,-0.26262238921150804
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,2,castle,0.4627945810360323,0.20995528914640632,-0.252839291889626
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,3,art,0.3671433758295989,0.15457261194054486,-0.21257076388905402
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0,cat,4,celebrity,0.3376500581292151,0.1885663567501654,-0.14908370137904972
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,0,dog,0.2959981180475909,0.15441814193319808,-0.14157997611439282
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,1,car,0.6232045078349375,0.13744229544037329,-0.48576221239456424
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,2,castle,0.3783966378338567,0.15649074583953868,-0.221905891994318
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,3,art,0.2061905585507008,0.1238699273247231,-0.08232063122597769
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1,truck,4,celebrity,0.2199497396172948,0.17132573585736965,-0.04862400375992515
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,2,church,0,dog,0.3253123382243878,0.1763808676530428,-0.148931470571345
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,2,church,1,car,0.38687945058160433,0.14841954139544833,-0.238459909186156
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,2,church,2,castle,0.6156483308210368,0.19267992750134108,-0.42296840331969565
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,2,church,3,art,0.3574259145177154,0.1502163831931302,-0.2072095313245852
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,2,church,4,celebrity,0.32979939601026553,0.18901647029295307,-0.14078292571731246
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,0,dog,0.35358695199411394,0.13987970443630815,-0.2137072475578058
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,1,car,0.21096000516214863,0.12343963920002313,-0.08752036596212551
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,2,castle,0.3565740657360139,0.16187736044550569,-0.19469670529050823
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,3,art,0.4870191729156839,0.1412205554822279,-0.345798617433456
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,Van Gogh,4,celebrity,0.3301515474717056,0.17396440225465654,-0.15618714521704907
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,0,dog,0.3479500863798194,0.1576545832148611,-0.1902955031649583
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,1,car,0.39757708359197763,0.1271197466857854,-0.2704573369061922
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,2,castle,0.4175537751702766,0.1783016641671096,-0.23925211100316698
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,4,Adam Driver,3,art,0.3396247226347211,0.1387352655672482,-0.2008894570674729
