prompt_id,seed,weight,cat_2way,dog_2way,cat_5way,dog_5way,mouse_5way,rabbit_5way,fox_5way,predicted_5way
1,42,W_0,0.9949138164520264,0.00508622033521533,0.9849427938461304,0.005035284906625748,0.003499214071780443,0.0050287386402487755,0.001494010561145842,cat
1,42,W,0.0019974273163825274,0.9980025887489319,0.0019262924324721098,0.962460458278656,0.0024534864351153374,0.017820093780755997,0.015339717268943787,dog
2,43,W_0,0.9966111779212952,0.0033888621255755424,0.9746052026748657,0.0033140333835035563,0.016088807955384254,0.005417386069893837,0.000574787613004446,cat
2,43,W,0.0022345450706779957,0.9977654218673706,0.0022099569905549288,0.9867976307868958,0.0045142751187086105,0.005346782971173525,0.0011314278235659003,dog
3,44,W_0,0.9979854822158813,0.002014460973441601,0.42114996910095215,0.0008501156698912382,0.5657429099082947,0.010556966997683048,0.0017000505467876792,mouse
3,44,W,0.10367203503847122,0.8963279724121094,0.001643815659917891,0.014212214387953281,0.9643493890762329,0.019160369411110878,0.0006342770648188889,mouse
4,45,W_0,0.9897790551185608,0.010220952332019806,0.9817610383033752,0.010138058103621006,0.0031455219723284245,0.0015194830484688282,0.003435957944020629,cat
4,45,W,0.01198515109717846,0.9880148768424988,0.011757535859942436,0.969254732131958,0.003308833809569478,0.012974550947546959,0.0027042874135077,dog
5,46,W_0,0.7427090406417847,0.2572909891605377,0.6909512281417847,0.23935817182064056,0.040599774569272995,0.02510480396449566,0.003986045252531767,cat
5,46,W,0.015860537067055702,0.9841394424438477,0.015474734827876091,0.9602115750312805,0.004996818024665117,0.014270657673478127,0.005046316422522068,dog
6,47,W_0,0.996565043926239,0.0034350126516073942,0.9911688566207886,0.0034163801465183496,0.003762622829526663,0.0015414318768307567,0.00011073812493123114,cat
6,47,W,0.07561398297548294,0.9243860244750977,0.0639544203877449,0.7818530201911926,0.11070944368839264,0.036887891590595245,0.00659523019567132,dog
7,48,W_0,0.0066017815843224525,0.9933981895446777,0.006555086467415094,0.9863736629486084,0.0019814525730907917,0.0040735783986747265,0.0010161643149331212,dog
7,48,W,0.0011912981281057,0.998808741569519,0.0011889049783349037,0.9968041181564331,0.0010067728580906987,0.0007324379403144121,0.0002677061129361391,dog
8,49,W_0,0.994404673576355,0.005595286842435598,0.9738494753837585,0.0054796901531517506,0.008436013013124466,0.004721968434751034,0.007512941025197506,cat
8,49,W,0.0021205127704888582,0.9978795051574707,0.002048460766673088,0.963982105255127,0.009496317245066166,0.015610055066645145,0.008863062597811222,dog
9,50,W_0,0.527285635471344,0.4727143943309784,0.2840442657470703,0.25464916229248047,0.2881103754043579,0.14647556841373444,0.026720605790615082,mouse
9,50,W,0.8297920227050781,0.1702079474925995,0.5279972553253174,0.1083044782280922,0.12625131011009216,0.2149898111820221,0.022457147017121315,cat
10,51,W_0,0.4185641407966614,0.5814358592033386,0.19544151425361633,0.2714932858943939,0.2092614322900772,0.27798351645469666,0.04582026228308678,rabbit
10,51,W,0.357617050409317,0.6423829793930054,0.18248558044433594,0.32779717445373535,0.21500210464000702,0.20634593069553375,0.06836920976638794,dog
