layer_index,layer_name,true_concept,count,mean_delta_cat,std_delta_cat,median_delta_cat,min_delta_cat,max_delta_cat,mean_delta_dog,std_delta_dog,median_delta_dog,min_delta_dog,max_delta_dog,proportion_toward_dog,proportion_away_from_cat,joint_intended_direction
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,cat,50,-0.0297859775274992,0.08799429548076486,-0.04674582555890083,-0.22705286741256714,0.1465991884469986,0.016051903143525125,0.053089874682690406,0.014552470296621323,-0.0972777009010315,0.12765070796012878,0.56,0.64,0.2
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,dog,50,0.1597468985617161,0.08534310533533812,0.15632224082946777,-0.04089587926864624,0.33858323097229004,0.11632110953330993,0.048800621578856805,0.11095671355724335,0.01026296615600586,0.20639753341674805,1.0,0.04,0.04
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fox,50,-0.020453235805034636,0.10284696529843594,-0.01628255657851696,-0.22021500766277313,0.20181119441986084,0.003672485873103142,0.060665544702904466,3.186613321304321e-05,-0.12091993540525436,0.1337915062904358,0.5,0.56,0.1
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,bear,50,0.05905650354921818,0.1100510254754127,0.059704726561903954,-0.16563008725643158,0.2798653841018677,0.03963915064930916,0.06257315426693644,0.043795764446258545,-0.06231534481048584,0.18036116659641266,0.72,0.3,0.02
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,wolf,50,0.07443892389535904,0.08695010975170216,0.07526762410998344,-0.11831878125667572,0.2252834439277649,0.05915894120931625,0.05010665955857305,0.06175234168767929,-0.0607486367225647,0.14134633541107178,0.86,0.22,0.08
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,50,0.02104954794049263,0.09673927559479051,0.006061270833015442,-0.18337395787239075,0.24372230470180511,0.026700593307614328,0.057115837775297655,0.02892417460680008,-0.08995500206947327,0.14323946833610535,0.66,0.44,0.12
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,deer,50,-0.003264644593000412,0.10132634093922874,0.009196743369102478,-0.21822357177734375,0.2038731873035431,0.013268640637397766,0.05998508141176711,0.024402819573879242,-0.11140020936727524,0.147488072514534,0.64,0.46,0.1
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,horse,50,0.13281441204249858,0.0865852373181022,0.12138308584690094,-0.03366881608963013,0.3372763991355896,0.0858671461045742,0.04782863298903837,0.08275862783193588,-0.02956944704055786,0.19434556365013123,0.96,0.06,0.02
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,cat,50,-0.009741721153259277,0.06330198105287034,-0.023530641570687294,-0.1360492706298828,0.11767499148845673,0.019227386116981507,0.04619777362501478,0.01391078531742096,-0.06461060047149658,0.10998713225126266,0.62,0.58,0.2
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,dog,50,0.07223338596522808,0.07613935138825156,0.08245211839675903,-0.08933017402887344,0.20815283060073853,0.06766886234283448,0.05184313015222767,0.07464657351374626,-0.04096877574920654,0.16750472784042358,0.84,0.22,0.06
